,volume,open,close,high,low,date
0,98964467.0,137.25,136.72,138.37,133.7737,2022-06-30 04:00:00
1,66242411.0,137.46,139.23,140.67,136.67,2022-06-29 04:00:00
2,67315328.0,142.13,137.44,143.422,137.325,2022-06-28 04:00:00
3,70207908.0,142.695,141.66,143.49,140.965,2022-06-27 04:00:00
4,88401837.0,139.9,141.66,141.91,139.77,2022-06-24 04:00:00
5,72433768.0,136.82,138.27,138.59,135.63,2022-06-23 04:00:00
6,73409234.0,134.79,135.35,137.76,133.91,2022-06-22 04:00:00
7,81000488.0,133.42,135.87,137.06,133.32,2022-06-21 04:00:00
8,134520290.0,130.065,131.56,133.079,129.81,2022-06-17 04:00:00
9,107961508.0,132.08,130.06,132.39,129.04,2022-06-16 04:00:00
10,91532972.0,134.29,135.43,137.34,132.16,2022-06-15 04:00:00
11,84784326.0,133.13,132.76,133.89,131.48,2022-06-14 04:00:00
12,122128099.0,132.87,131.88,135.2,131.44,2022-06-13 04:00:00
13,91566637.0,140.28,137.13,140.76,137.06,2022-06-10 04:00:00
14,69472976.0,147.08,142.64,147.95,142.53,2022-06-09 04:00:00
15,53950201.0,148.58,147.96,149.8697,147.46,2022-06-08 04:00:00
16,67808150.0,144.345,148.71,149.0,144.1,2022-06-07 04:00:00
17,71598380.0,147.03,146.14,148.5689,144.9,2022-06-06 04:00:00
18,88570289.0,146.9,145.38,147.97,144.46,2022-06-03 04:00:00
19,72348055.0,147.83,151.21,151.27,146.86,2022-06-02 04:00:00
20,74286635.0,149.9,148.71,151.74,147.68,2022-06-01 04:00:00
21,103718416.0,149.07,148.84,150.66,146.84,2022-05-31 04:00:00
22,91425110.0,145.39,149.64,149.68,145.26,2022-05-27 04:00:00
23,90601098.0,137.39,143.78,144.34,137.14,2022-05-26 04:00:00
24,92482696.0,138.43,140.52,141.785,138.34,2022-05-25 04:00:00
25,104132746.0,140.805,140.36,141.97,137.33,2022-05-24 04:00:00
26,117726265.0,137.79,143.11,143.26,137.65,2022-05-23 04:00:00
27,137392625.0,139.09,137.59,140.7,132.61,2022-05-20 04:00:00
28,135863540.0,139.88,137.35,141.66,136.6,2022-05-19 04:00:00
29,109742890.0,146.85,140.82,147.3601,139.9,2022-05-18 04:00:00
30,78138254.0,148.86,149.24,149.77,146.68,2022-05-17 04:00:00
31,86643781.0,145.55,145.54,147.5199,144.18,2022-05-16 04:00:00
32,113990852.0,144.59,147.11,148.105,143.11,2022-05-13 04:00:00
33,182408091.0,142.77,142.56,146.2,138.8,2022-05-12 04:00:00
34,142547625.0,153.5,146.5,155.45,145.81,2022-05-11 04:00:00
35,115366736.0,155.52,154.51,156.74,152.93,2022-05-10 04:00:00
36,131577921.0,154.925,152.06,155.83,151.49,2022-05-09 04:00:00
37,115494647.0,156.01,157.28,159.44,154.18,2022-05-06 04:00:00
38,130419230.0,163.85,156.77,164.08,154.95,2022-05-05 04:00:00
39,108206503.0,159.67,166.02,166.48,159.26,2022-05-04 04:00:00
40,88966526.0,158.15,159.48,160.71,156.32,2022-05-03 04:00:00
41,123050000.0,156.71,157.96,158.23,153.27,2022-05-02 04:00:00
42,131747495.0,161.84,157.65,166.2,157.25,2022-04-29 04:00:00
43,130149192.0,159.25,163.64,164.515,158.93,2022-04-28 04:00:00
44,88063191.0,155.91,156.57,159.79,155.38,2022-04-27 04:00:00
45,95595226.0,162.25,156.8,162.34,156.72,2022-04-26 04:00:00
46,96017376.0,161.12,162.88,163.17,158.46,2022-04-25 04:00:00
47,84875424.0,166.46,161.79,167.8699,161.5,2022-04-22 04:00:00
48,87227768.0,168.91,166.42,171.53,165.91,2022-04-21 04:00:00
49,67929814.0,168.76,167.23,168.88,166.1,2022-04-20 04:00:00
50,67723833.0,165.02,167.4,167.82,163.91,2022-04-19 04:00:00
51,69023941.0,163.92,165.07,166.5984,163.57,2022-04-18 04:00:00
52,75069376.0,170.62,165.29,171.27,165.04,2022-04-14 04:00:00
53,70618925.0,167.39,170.4,171.04,166.77,2022-04-13 04:00:00
54,79265181.0,168.02,167.66,169.87,166.64,2022-04-12 04:00:00
55,72246706.0,168.71,165.75,169.03,165.5,2022-04-11 04:00:00
56,76534208.0,171.78,170.09,171.78,169.2,2022-04-08 04:00:00
57,77594650.0,171.16,172.14,173.36,169.85,2022-04-07 04:00:00
58,89058782.0,172.36,171.83,173.63,170.13,2022-04-06 04:00:00
59,73401786.0,177.5,175.06,178.3,174.415,2022-04-05 04:00:00
60,76545983.0,174.57,178.44,178.49,174.44,2022-04-04 04:00:00
61,78251328.0,174.03,174.31,174.88,171.94,2022-04-01 04:00:00
62,103049285.0,177.84,174.61,178.03,174.4,2022-03-31 04:00:00
63,91340654.0,178.55,177.77,179.61,176.7,2022-03-30 04:00:00
64,99459940.0,176.69,178.96,179.01,176.34,2022-03-29 04:00:00
65,90371916.0,172.17,175.6,175.73,172.0,2022-03-28 04:00:00
66,80529356.0,173.88,174.72,175.28,172.75,2022-03-25 04:00:00
67,90131418.0,171.06,174.07,174.14,170.21,2022-03-24 04:00:00
