,volume,open,close,high,low,date
0,7894710.0,177.07,174.87,179.45,170.3,2022-06-30 04:00:00
1,5766847.0,179.55,178.36,180.665,175.1,2022-06-29 04:00:00
2,7170897.0,189.2,179.6,192.2,179.37,2022-06-28 04:00:00
3,8363879.0,191.77,189.14,191.78,182.39,2022-06-27 04:00:00
4,12423974.0,183.5,190.85,191.19,181.84,2022-06-24 04:00:00
5,9538226.0,180.5,181.71,182.76,175.87,2022-06-23 04:00:00
6,12010615.0,170.75,178.89,182.82,170.2,2022-06-22 04:00:00
7,12177592.0,177.6,170.91,178.6189,169.8,2022-06-21 04:00:00
8,12133372.0,173.63,175.51,179.65,173.34,2022-06-17 04:00:00
9,8201306.0,174.0,173.35,176.27,171.56,2022-06-16 04:00:00
10,12396041.0,169.258,180.11,183.845,168.53,2022-06-15 04:00:00
11,11555323.0,169.75,167.54,172.0622,164.28,2022-06-14 04:00:00
12,10214607.0,177.07,169.69,179.09,168.9571,2022-06-13 04:00:00
13,13074280.0,182.64,182.94,185.86,180.85,2022-06-10 04:00:00
14,6948967.0,200.65,192.77,201.69,192.54,2022-06-09 04:00:00
15,7244121.0,197.95,202.83,207.38,197.64,2022-06-08 04:00:00
16,4839491.0,194.87,198.61,199.6,193.0,2022-06-07 04:00:00
17,5372043.0,202.09,197.14,203.87,195.38,2022-06-06 04:00:00
18,7185175.0,200.14,198.98,202.95,198.05,2022-06-03 04:00:00
19,9593521.0,192.02,205.09,205.47,191.72,2022-06-02 04:00:00
20,8416151.0,198.7,192.91,202.74,191.6606,2022-06-01 04:00:00
21,11398460.0,196.18,197.44,199.95,190.8,2022-05-31 04:00:00
22,8585987.0,193.19,195.19,195.25,190.3722,2022-05-27 04:00:00
23,8049933.0,186.49,191.4,192.3402,183.0916,2022-05-26 04:00:00
24,8522092.0,180.28,187.83,188.87,180.17,2022-05-25 04:00:00
25,7636372.0,182.0,180.34,184.0,177.17,2022-05-24 04:00:00
26,9182027.0,186.15,187.44,187.66,177.89,2022-05-23 04:00:00
