,volume,open,close,high,low,date
0,97679401.0,108.11,106.21,108.18,102.52,2022-06-30 04:00:00
1,66361851.0,107.38,108.92,110.99,106.91,2022-06-29 04:00:00
2,75166660.0,113.5,107.4,114.85,107.04,2022-06-28 04:00:00
3,62118440.0,117.09,113.22,117.98,112.7,2022-06-27 04:00:00
4,69867618.0,112.38,116.46,116.71,111.43,2022-06-24 04:00:00
5,64339720.0,110.39,112.44,113.0,107.93,2022-06-23 04:00:00
6,60040131.0,107.43,108.95,112.13,107.02,2022-06-22 04:00:00
7,70880245.0,108.2,108.68,111.6299,103.56,2022-06-21 04:00:00
8,99772147.0,102.8,106.22,106.98,102.51,2022-06-17 04:00:00
9,82179528.0,104.47,103.66,104.58,102.01,2022-06-16 04:00:00
10,85011060.0,103.86,107.67,109.06,103.53,2022-06-15 04:00:00
11,69728761.0,104.19,102.31,104.88,101.43,2022-06-14 04:00:00
12,99277742.0,104.19,103.67,106.54,101.86,2022-06-13 04:00:00
13,87390505.0,113.415,109.65,114.5,109.05,2022-06-10 04:00:00
14,66997342.0,119.99,116.15,121.3,116.1,2022-06-09 04:00:00
15,64926594.0,122.61,121.18,123.75,120.75,2022-06-08 04:00:00
16,85156712.0,122.005,123.0,124.1,120.63,2022-06-07 04:00:00
17,135269024.0,125.245,124.79,128.99,123.81,2022-06-06 04:00:00
18,97203320.0,124.2,122.35,124.4,121.0465,2022-06-03 04:00:00
19,100560680.0,121.684,125.511,125.61,120.045,2022-06-02 04:00:00
20,127528980.0,122.256,121.684,125.179,120.6223,2022-06-01 04:00:00
21,144634160.0,116.28,120.2095,121.9945,115.675,2022-05-31 04:00:00
22,94660360.0,113.55,115.1465,115.187,112.628,2022-05-27 04:00:00
23,92522600.0,107.97,111.0775,112.6655,107.4535,2022-05-26 04:00:00
24,93120100.0,103.6555,106.775,108.175,103.65,2022-05-25 04:00:00
25,102934680.0,104.025,104.1,105.4,101.26,2022-05-24 04:00:00
26,107507360.0,108.461,107.557,108.8188,103.95,2022-05-23 04:00:00
27,98500640.0,109.5685,107.591,109.898,105.0093,2022-05-20 04:00:00
28,88142540.0,106.2805,107.319,110.034,106.1929,2022-05-19 04:00:00
29,108379180.0,111.4395,107.1125,112.853,106.2488,2022-05-18 04:00:00
30,75184960.0,113.275,115.3685,115.8,111.2765,2022-05-17 04:00:00
31,73565740.0,113.1,110.8105,113.9925,110.3541,2022-05-16 04:00:00
32,93642560.0,109.069,113.055,113.184,107.8,2022-05-13 04:00:00
33,131920140.0,102.75,106.9305,110.7808,102.4055,2022-05-12 04:00:00
34,109149640.0,108.1035,105.372,110.156,104.4285,2022-05-11 04:00:00
35,105283820.0,111.25,108.859,112.6425,107.171,2022-05-10 04:00:00
36,128124120.0,111.3125,108.789,114.0,107.957,2022-05-09 04:00:00
37,122965900.0,114.85,114.7725,119.0505,113.0813,2022-05-06 04:00:00
38,144191220.0,123.0,116.407,123.499,115.0725,2022-05-05 04:00:00
39,110622560.0,123.6,125.9285,126.0,119.183,2022-05-04 04:00:00
40,78903360.0,124.0535,124.2535,126.2205,122.825,2022-05-03 04:00:00
41,148121480.0,122.401,124.5,124.6683,118.375,2022-05-02 04:00:00
42,272145720.0,129.849,124.2815,130.761,121.625,2022-04-29 04:00:00
43,117242140.0,142.178,144.5965,145.9375,140.3,2022-04-28 04:00:00
44,71336300.0,140.1915,138.167,141.9485,135.7835,2022-04-27 04:00:00
45,77488460.0,144.8,139.391,144.8558,138.9295,2022-04-26 04:00:00
46,61859860.0,144.023,146.074,146.2215,142.3065,2022-04-25 04:00:00
47,73066260.0,148.25,144.35,149.615,143.6975,2022-04-22 04:00:00
48,63894220.0,154.714,148.296,156.738,147.5895,2022-04-21 04:00:00
49,59630020.0,157.6025,153.998,157.6025,153.6035,2022-04-20 04:00:00
50,54776420.0,152.0295,158.1155,158.649,151.5505,2022-04-19 04:00:00
51,46513520.0,151.5235,152.785,154.0395,150.2505,2022-04-18 04:00:00
52,51368140.0,155.39,151.7065,155.897,151.4718,2022-04-14 04:00:00
53,53390880.0,150.0185,155.541,156.025,149.6,2022-04-13 04:00:00
54,55153440.0,153.6925,150.7875,155.099,150.383,2022-04-12 04:00:00
55,52112340.0,152.713,151.122,154.1365,150.5345,2022-04-11 04:00:00
56,46001660.0,156.75,154.4605,157.3685,154.2308,2022-04-08 04:00:00
57,67986780.0,158.4,157.7845,160.079,154.5115,2022-04-07 04:00:00
58,79055760.0,161.6505,158.756,162.2,157.2545,2022-04-06 04:00:00
59,53208960.0,167.7415,164.055,168.1105,163.266,2022-04-05 04:00:00
60,49990560.0,164.125,168.3465,168.3945,163.2055,2022-04-04 04:00:00
61,57089500.0,164.1495,163.56,165.827,162.3195,2022-04-01 04:00:00
62,59965780.0,166.4448,162.9975,166.495,162.9535,2022-03-31 04:00:00
63,56167260.0,168.5095,166.301,168.9505,165.5,2022-03-30 04:00:00
64,66083600.0,170.384,169.315,170.8315,167.8685,2022-03-29 04:00:00
65,59853820.0,164.975,168.9905,169.0375,164.9,2022-03-28 04:00:00
66,48985500.0,164.0,164.7735,165.3685,162.25,2022-03-25 04:00:00
67,56798060.0,163.7495,163.6495,164.1185,160.05,2022-03-24 04:00:00
68,55781860.0,163.705,163.408,166.37,162.687,2022-03-23 04:00:00
69,64074720.0,161.8055,164.889,166.167,161.699,2022-03-22 04:00:00
70,66537520.0,161.1208,161.4915,163.084,159.553,2022-03-21 04:00:00
71,101792760.0,156.813,161.2505,161.594,156.011,2022-03-18 04:00:00
72,72822140.0,152.6405,157.239,157.4985,152.14,2022-03-17 04:00:00
73,80955580.0,148.5,153.104,153.15,147.3535,2022-03-16 04:00:00
74,75134600.0,142.85,147.3665,147.985,142.0,2022-03-15 04:00:00
75,74086100.0,145.981,141.853,147.45,140.884,2022-03-14 04:00:00
76,68740560.0,149.5745,145.5245,149.675,145.369,2022-03-11 05:00:00
77,135062900.0,145.685,146.8175,148.6743,143.978,2022-03-10 05:00:00
78,82644660.0,139.5,139.279,140.25,136.828,2022-03-09 05:00:00
79,91661580.0,136.6835,136.0145,140.6995,133.5725,2022-03-08 05:00:00
80,86933860.0,145.4435,137.453,146.0945,137.4165,2022-03-07 05:00:00
81,60983120.0,147.159,145.641,147.85,143.807,2022-03-04 05:00:00
82,65197200.0,153.5315,147.8985,153.929,146.856,2022-03-03 05:00:00
83,47334720.0,150.849,152.0525,152.9995,148.75,2022-03-02 05:00:00
