,volume,open,close,high,low,date
0,2158453.0,2200.0,2179.26,2217.76,2135.0,2022-06-30 04:00:00
1,1235841.0,2231.04,2234.03,2263.205,2217.4501,2022-06-29 04:00:00
2,1794048.0,2316.05,2240.15,2346.19,2236.96,2022-06-28 04:00:00
3,1821038.0,2365.46,2316.67,2371.59,2303.5937,2022-06-27 04:00:00
4,2058184.0,2259.9,2359.5,2361.58,2259.05,2022-06-24 04:00:00
5,1418096.0,2244.63,2244.84,2254.85,2210.01,2022-06-23 04:00:00
6,1538707.0,2211.13,2229.75,2266.93,2207.6475,2022-06-22 04:00:00
7,2369365.0,2178.59,2230.88,2249.785,2172.0,2022-06-21 04:00:00
8,2568826.0,2120.67,2142.87,2173.9899,2100.92,2022-06-17 04:00:00
9,2584248.0,2144.42,2120.67,2172.97,2102.7601,2022-06-16 04:00:00
10,1984909.0,2170.9,2195.29,2228.47,2153.39,2022-06-15 04:00:00
11,1685313.0,2130.7,2134.31,2158.49,2116.0,2022-06-14 04:00:00
12,2362596.0,2135.73,2127.85,2175.83,2122.3836,2022-06-13 04:00:00
13,2074092.0,2248.9,2223.23,2265.58,2207.3224,2022-06-10 04:00:00
14,1289898.0,2326.55,2296.71,2365.9799,2295.52,2022-06-09 04:00:00
15,1305387.0,2335.23,2343.88,2371.41,2332.0,2022-06-08 04:00:00
16,1579523.0,2309.61,2342.99,2353.82,2301.04,2022-06-07 04:00:00
17,1677077.0,2334.09,2336.41,2386.94,2323.28,2022-06-06 04:00:00
18,1306773.0,2321.25,2290.82,2326.4325,2270.37,2022-06-03 04:00:00
19,1899614.0,2280.0,2352.45,2357.99,2258.93,2022-06-02 04:00:00
20,1830276.0,2297.1,2277.84,2342.0311,2265.0,2022-06-01 04:00:00
21,2490613.0,2254.93,2275.24,2314.7,2241.57,2022-05-31 04:00:00
22,1895706.0,2189.66,2246.33,2246.36,2182.765,2022-05-27 04:00:00
23,1897361.0,2113.54,2155.85,2172.99,2104.4971,2022-05-26 04:00:00
24,2012867.0,2099.71,2116.1,2130.0,2077.13,2022-05-25 04:00:00
